my_agent
rabbits
watcher
rye_grass
2023,0,35,11,3,4,1
2023,1,43,14,0,3,5
2023,2,46,17,0,1,3
2023,3,64,16,15,0,0
2023,4,64,12,31,2,0
2023,5,87,14,29,4,0
2023,6,81,10,25,6,0
2023,7,80,7,19,8,0
2023,8,69,6,15,10,1
2023,9,58,7,16,11,11
2023,10,48,10,9,0,10
2023,11,36,10,9,2,0
2024,12,38,13,7,4,0
2024,13,36,16,3,6,0
2024,14,45,17,0,5,0
2024,15,72,15,0,4,0
2024,16,65,16,10,3,0
2024,17,73,14,10,5,0
2024,18,72,12,9,7,0
2024,19,78,11,2,9,1
2024,20,58,8,6,7,10
2024,21,54,10,10,0,9
2024,22,44,7,10,2,0
2024,23,50,10,14,4,0
2025,24,44,11,11,6,0
2025,25,40,14,5,8,0
2025,26,46,15,0,7,1
2025,27,71,15,0,6,8
2025,28,79,16,0,2,7
2025,29,79,12,0,0,4
2025,30,81,9,0,0,0
2025,31,80,8,0,0,0
2025,32,71,7,3,0,0
2025,33,62,9,17,2,0
2025,34,51,9,21,4,0
2025,35,47,12,20,6,0
2026,36,44,11,15,8,0
2026,37,46,16,9,10,1
2026,38,53,15,11,9,11
2026,39,62,17,19,5,10
2026,40,68,15,24,3,8
2026,41,77,11,22,3,5
2026,42,73,10,22,4,3
2026,43,69,8,24,5,7
2026,44,71,7,22,1,6
2026,45,60,7,33,2,0
2026,46,55,9,43,4,0
2026,47,42,11,39,6,0
2027,48,47,11,36,8,0
2027,49,36,15,28,10,1
2027,50,48,15,22,12,11
2027,51,70,14,17,3,10
2027,52,70,13,21,3,7
2027,53,80,12,18,3,5
2027,54,71,11,20,4,3
2027,55,83,10,16,5,7
2027,56,57,10,26,3,6
2027,57,45,6,24,2,4
2027,58,46,9,24,3,2
2027,59,50,11,27,5,5
2028,60,44,13,23,5,4
2028,61,43,16,19,6,9
2028,62,55,17,27,5,8
2028,63,60,14,42,4,6
2028,64,73,16,41,5,5
2028,65,72,13,40,5,4
2028,66,85,9,35,5,9
2028,67,73,7,32,0,7
2028,68,73,7,34,2,0
2028,69,58,6,42,4,0
2028,70,52,8,45,6,0
2028,71,36,10,39,8,0
